,userID,Mode,Application,Time,Task,Guesses,Avg Dist,STD Dist,Avg Scale,Avg Scale:Dist,Avg Visual Angle,Std Visual Angle,Time_To_First_Guess
274,39,Responsive,Numpad,22230,1,1,0.447489616,0.077397028,0.550000012,1.229078825,0.893250226,0.076481234,22230
214,31,Responsive,Numpad,26260,1,1,0.623584597,0.029595305,0.550000012,0.881997429,0.723382788,0.022440456,26260
54,35,Responsive,Numpad,26550,1,1,0.603457017,0.015504056,0.550000012,0.911415389,0.739265902,0.012876297,26550
432,47,Responsive,Numpad,26831,1,1,0.515491234,0.13352849,0.550000012,1.066943481,0.829726069,0.090801056,26831
14,59,Responsive,Numpad,30771,1,1,0.631313023,0.051747145,0.550000012,0.871200169,0.718490875,0.038823974,30771
284,55,Responsive,Numpad,31347,1,1,0.669235525,0.125703863,0.550000012,0.821833259,0.698653197,0.098217643,31347
224,65,Responsive,Numpad,33339,1,1,0.48430576,0.063896649,0.550000012,1.135646234,0.852215788,0.055871897,33339
334,41,Responsive,Numpad,36301,1,1,0.517619118,0.056601175,0.550000012,1.062557375,0.818130265,0.044268314,36301
244,53,Responsive,Numpad,38010,1,1,0.49045864,0.085575837,0.550000012,1.121399375,0.848482741,0.07294554,38010
64,69,Responsive,Numpad,39930,1,1,0.621408967,0.102458003,0.550000012,0.885085412,0.731997531,0.081350344,39930
84,51,Responsive,Numpad,63332,1,2,0.558084003,0.06793794,0.550000012,0.985514742,0.781512206,0.053561208,16362
34,57,Responsive,Numpad,66551,1,1,0.580575106,0.267633453,0.550000012,0.94733654,0.794094577,0.138277247,66551
204,36,Static,Numpad,13380,1,1,0.518085425,0.029926211,0.550000012,1.061601012,0.816021456,0.027442707,13380
24,68,Static,Numpad,14831,1,1,0.60851634,0.013905913,0.550000012,0.903837705,0.735071434,0.011161606,14831
374,84,Static,Numpad,15910,1,1,0.495732847,0.046153838,0.550000012,1.109468568,0.839062278,0.042496221,15910
234,54,Static,Numpad,16600,1,1,0.470696268,0.089115203,0.550000012,1.168481778,0.869477556,0.076973815,16600
44,32,Static,Numpad,16731,1,1,0.551621594,0.059771427,0.550000012,0.997060337,0.786529799,0.04615057,16731
114,60,Static,Numpad,16880,1,1,0.486167917,0.070547832,0.550000012,1.131296394,0.851047035,0.061898509,16880
304,64,Static,Numpad,16971,1,1,0.529129602,0.062483978,0.550000012,1.039442907,0.807750225,0.051300161,16971
354,48,Static,Numpad,18520,1,1,0.593060804,0.243428228,0.550000012,0.927392281,0.779014675,0.133604238,18520
324,79,Static,Numpad,18721,1,1,0.542504782,0.049293935,0.550000012,1.01381597,0.794141708,0.041034129,18721
254,30,Static,Numpad,21691,1,1,0.456404605,0.142839957,0.550000012,1.205071127,0.893916416,0.113065262,21691
422,40,Static,Numpad,22380,1,1,0.635432209,0.140750959,0.550000012,0.865552618,0.72516417,0.090242934,22380
94,58,Static,Numpad,22539,1,1,0.514168752,0.104981277,0.550000012,1.069687744,0.827687386,0.087447894,22539
154,80,Static,Numpad,25881,1,1,0.535022418,0.062804821,0.550000012,1.02799433,0.802287748,0.052892879,25881
364,70,Static,Numpad,25950,1,2,0.568200136,0.057192056,0.550000012,0.967968815,0.771529857,0.045462373,10820
442,78,Static,Numpad,32371,1,1,0.532984369,0.056319774,0.550000012,1.031925219,0.803476094,0.044163116,32371
402,82,Static,Numpad,32471,1,1,0.432959983,0.102641738,0.550000012,1.270325281,0.912991127,0.092654052,32471
124,34,Static,Numpad,33450,1,1,0.761193637,0.159486535,0.550000012,0.722549409,0.639322851,0.100709621,33450
174,44,Static,Numpad,35310,1,1,0.614274303,0.073706796,0.550000012,0.89536549,0.733870696,0.053644079,35310
194,38,Static,Numpad,35871,1,2,0.596833855,0.038585083,0.550000012,0.921529514,0.745640889,0.029779448,20182
314,46,Static,Numpad,39410,1,1,0.733246852,0.126450486,0.550000012,0.750088473,0.652413804,0.080611867,39410
164,86,Static,Numpad,47231,1,1,0.558574945,0.064170034,0.550000012,0.984648553,0.781087618,0.059843952,47231
5,61,Responsive,Numpad,13560,2,1,0.584247032,0.089951916,0.899999976,1.540444243,0.998043194,0.061766467,13560
135,33,Responsive,Numpad,17790,2,1,0.429624706,0.16432757,0.899999976,2.094851537,1.135724606,0.120786901,17790
345,83,Responsive,Numpad,18709,2,1,0.572654026,0.071310741,0.898118256,1.568343564,1.004803272,0.051646509,18709
433,47,Responsive,Numpad,21496,2,1,0.507863292,0.183797071,0.899999976,1.772130393,1.069229444,0.117308439,21496
55,35,Responsive,Numpad,23711,2,1,0.611631738,0.016381191,0.899999976,1.471473633,0.974004406,0.012460287,23711
85,51,Responsive,Numpad,24610,2,1,0.582538357,0.087219978,0.899999976,1.544962603,0.999198009,0.05966482,24610
65,69,Responsive,Numpad,25170,2,1,0.512797145,0.099228745,0.899999976,1.755079929,1.056733314,0.07379647,25170
265,37,Responsive,Numpad,25391,2,1,0.586534801,0.09538608,0.899999976,1.534435766,0.996778391,0.083654111,25391
335,41,Responsive,Numpad,26850,2,1,0.54652054,0.058171934,0.898674219,1.644355798,1.025497592,0.044004603,26850
275,39,Responsive,Numpad,26946,2,1,0.57092141,0.072760525,0.898674219,1.574076927,1.006697636,0.050844955,26946
393,71,Responsive,Numpad,32531,2,1,0.550469207,0.098932216,0.899999976,1.634968795,1.025563767,0.068883211,32531
15,59,Responsive,Numpad,32559,2,1,0.58556861,0.052802568,0.899999976,1.536967592,0.995055468,0.038482301,32559
145,45,Responsive,Numpad,35531,2,1,0.615027072,0.191437757,0.899999976,1.463350179,0.984249432,0.119628653,35531
35,57,Responsive,Numpad,37301,2,1,0.885606412,0.508603098,0.899999976,1.016252778,0.861167479,0.239432924,37301
413,49,Responsive,Numpad,39941,2,1,0.505447223,0.053940398,0.899999976,1.780601288,1.060228278,0.040921273,39941
295,63,Responsive,Numpad,55181,2,1,0.546468969,0.074141313,0.899999976,1.646937022,1.027192516,0.051399077,55181
285,55,Responsive,Numpad,57361,2,1,0.574922062,0.095624526,0.899999976,1.565429535,1.005883188,0.070919817,57361
105,67,Responsive,Numpad,60581,2,1,0.556546032,0.164929483,0.899999976,1.617116867,1.026171532,0.095854318,60581
245,53,Responsive,Numpad,62351,2,2,0.472509174,0.081091298,0.899417613,1.903492383,1.089555261,0.065675902,43031
225,65,Responsive,Numpad,139502,2,1,0.69425282,0.359118148,0.899999976,1.296357682,0.949613535,0.172422826,139502
215,31,Responsive,Numpad,188328,2,4,0.65815073,0.109490332,0.899999976,1.367467869,0.943874597,0.076065844,40130
185,43,Responsive,Numpad,252774,2,3,0.532633925,0.19433203,0.899999976,1.689715831,1.049130635,0.11202863,126975
205,36,Static,Numpad,12390,2,1,0.584095533,0.051076022,0.899999976,1.540843792,0.996134934,0.037524147,12390
175,44,Static,Numpad,12700,2,1,0.513173489,0.107217904,0.899999976,1.753792812,1.057034842,0.079591079,12700
25,68,Static,Numpad,13641,2,1,0.599035459,0.039351037,0.899999976,1.502415196,0.984133002,0.028828531,13641
365,70,Static,Numpad,15810,2,1,0.607112854,0.063162064,0.899999976,1.48242616,0.978851852,0.044264478,15810
255,30,Static,Numpad,16270,2,1,0.522625004,0.197676818,0.899999976,1.722075998,1.058903158,0.128981372,16270
115,60,Static,Numpad,17025,2,1,0.545152166,0.008675535,0.899999976,1.650915163,1.026208085,0.007014294,17025
