,hPos,aPos,unixTime,Distance
363,"{'x': 0.0028242578264325857, 'y': -0.01755656860768795, 'z': 0.04496614634990692}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088287016,0.5593030003454947
364,"{'x': 0.003641596995294094, 'y': -0.017766164615750313, 'z': 0.04416404664516449}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088287115,0.5601305488739653
365,"{'x': 0.003894082736223936, 'y': -0.01785610057413578, 'z': 0.04279808700084686}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088287215,0.5615045047952226
366,"{'x': 0.004355298355221748, 'y': -0.017705418169498444, 'z': 0.04163625091314316}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088287316,0.562673591418605
367,"{'x': 0.004914342425763607, 'y': -0.017492180690169334, 'z': 0.04043344408273697}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088287415,0.563885046393617
368,"{'x': 0.004779689013957977, 'y': -0.017046429216861725, 'z': 0.03947554528713226}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088287517,0.564826935465919
369,"{'x': 0.004214048385620117, 'y': -0.01696515455842018, 'z': 0.03929762542247772}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088287615,0.5649874451574235
370,"{'x': 0.0037978538312017918, 'y': -0.016859227791428566, 'z': 0.03921715170145035}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088287716,0.5650543484762696
371,"{'x': 0.004416938871145248, 'y': -0.01606190949678421, 'z': 0.03952854871749878}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088287815,0.5647397623361204
372,"{'x': 0.006375810131430626, 'y': -0.015812061727046967, 'z': 0.040738314390182495}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088287916,0.5635807765538584
